info,people,score,title,words
2008 / 英国 美国 / 剧情 战争,198559人评价,9.0,穿条纹睡衣的男孩 / The Boy in the Striped Pajamas / 穿条纹衣服的男孩  /  穿条纹衣的男孩[可播放],尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
2003 / 美国 / 剧情 悬疑 惊悚,391555人评价,8.7,致命ID / Identity / 杀人游戏  /  致命身份[可播放],最不可能的那个人永远是最可能的。
2005 / 美国 加拿大 / 剧情 爱情 同性 家庭,389375人评价,8.7,断背山 / Brokeback Mountain / 断臂山  /  BBM[可播放],每个人心中都有一座断背山。
2003 / 美国 / 动作 冒险 奇幻,433630人评价,8.6,加勒比海盗 / Pirates of the Caribbean: The Curse of the Black Pearl / 加勒比海盗1：黑珍珠号的诅咒  /  神鬼奇航：鬼盗船魔咒(台)[可播放],约翰尼·德普的独角戏。
2009 / 美国 英国 / 动作 战争 科幻 冒险,649581人评价,8.6,阿凡达 / Avatar / 天神下凡(港)  /  化身[可播放],绝对意义上的美轮美奂。
1936 / 美国 / 喜剧 剧情 爱情,117834人评价,9.2,"摩登时代 / Modern Times / The Masses  /  Temps modernes, Les[可播放]",大时代中的人生，小人物的悲喜。
2003 / 美国 / 剧情 家庭 奇幻 冒险,303776人评价,8.7,大鱼 / Big Fish / 大鱼奇缘(港)  /  大智若鱼(台)[可播放],抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
2010 / 日本 / 剧情 惊悚,411386人评价,8.7,告白 / 自白  /  母亲[可播放],没有一人完全善，也没有一人完全恶。
2000 / 台湾 日本 / 剧情 爱情 家庭,185564人评价,9.0,一一 / Yi yi  /  Yi yi: A One and a Two,我们都曾经是一一。
1993 / 香港 / 喜剧 古装,331357人评价,8.7,射雕英雄传之东成西就 / 射鵰英雄傳之東成西就 / 东成西就  /  大英雄 (日本),百看不厌。 
1996 / 香港 / 剧情 爱情,272149人评价,8.8,甜蜜蜜 / Comrades: Almost a Love Story,相逢只要一瞬间，等待却像是一辈子。
2011 / 韩国 / 剧情 喜剧,326508人评价,8.8,阳光姐妹淘 / 써니 / 阳光姊妹淘(港)  /  桑尼[可播放],再多各自牛逼的时光，也比不上一起傻逼的岁月。 
2014 / 美国 / 剧情 犯罪 悬疑 惊悚,442487人评价,8.7,消失的爱人 / Gone Girl / 失踪的女孩  /  失踪女孩[可播放],年度最佳date movie。
1995 / 美国 奥地利 瑞士 / 剧情 爱情,272208人评价,8.7,爱在黎明破晓前 / Before Sunrise / 情留半天(港)  /  爱在黎明破晓时(台)[可播放],缘分是个连绵词，最美不过一瞬。
2002 / 巴西 法国 / 犯罪 剧情,180589人评价,8.9,上帝之城 / Cidade de Deus / 无主之城 (港)  /  无法无天 (台),被上帝抛弃了的上帝之城。
2017 / 美国 / 喜剧 动画 奇幻 音乐,612810人评价,9.0,寻梦环游记 / Coco / 可可夜总会(台)  /  玩转极乐园(港)[可播放],死亡不是真的逝去，遗忘才是永恒的消亡。
1999 / 香港 / 喜剧 剧情 爱情,403109人评价,8.6,喜剧之王 / 喜劇之王 / King of Comedy,我是一个演员。
2014 / 日本 / 剧情,179064人评价,8.9,小森林 夏秋篇 / リトル・フォレスト 夏・秋 / 小森食光 / 夏秋篇(台) [可播放],那些静得只能听见呼吸的日子里，你明白孤独即生活。
1995 / 日本 / 剧情 爱情 动画,211765人评价,8.8,侧耳倾听 / 耳をすませば / 心之谷  /  梦幻街少女,少女情怀总是诗。
1987 / 香港 / 剧情 爱情 武侠 古装,327458人评价,8.6,倩女幽魂 / 倩女幽魂(87版)  /  A Chinese Ghost Story[可播放],两张绝世的脸。 
2013 / 韩国 / 剧情 犯罪 悬疑,287915人评价,8.7,恐怖直播 / 더 테러 라이브 / 死亡“动”新闻(港)  /  恐怖攻击直播(台)[可播放],恐怖分子的“秋菊打官司”。
1984 / 日本 / 动画 奇幻 冒险,211331人评价,8.8,风之谷 / 風の谷のナウシカ / 风谷少女  /  Kaze no tani no Naushika,动画片的圣经。
2011 / 美国 / 剧情,217065人评价,8.8,超脱 / Detachment / 人间师格(台)[可播放],穷尽一生，我们要学会的，不过是彼此拥抱。
2004 / 美国 / 剧情 爱情,240336人评价,8.8,爱在日落黄昏时 / Before Sunset / 日落巴黎(港)  /  爱在日落巴黎时(台)[可播放],九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
2006 / 日本 / 动画 悬疑 科幻 惊悚,170631人评价,8.9,红辣椒 / パプリカ / 盗梦侦探  /  帕布莉卡,梦的勾结。
1999 / 日本 / 剧情 喜剧,232418人评价,8.8,菊次郎的夏天 / 菊次郎の夏 / Kikujirô no natsu  /  菊次郎的夏天[可播放],从没见过那么流氓的温柔，从没见过那么温柔的流氓。
2010 / 美国 / 喜剧 动画 奇幻 冒险,351816人评价,8.7,驯龙高手 / How to Train Your Dragon / 驯龙记(港)[可播放],和谐的生活离不开摸头与被摸头。
2004 / 美国 / 喜剧 剧情 爱情,268611人评价,8.7,幸福终点站 / The Terminal / 机场客运站(港)  /  航站情缘(台)[可播放],有时候幸福需要等一等。 
2010 / 美国 法国 / 喜剧 动画 冒险,474323人评价,8.5,神偷奶爸 / Despicable Me / 卑鄙的我  /  坏蛋奖门人(港)[可播放],Mr. I Don't Care其实也有Care的时候。
2003 / 韩国 / 犯罪 剧情 悬疑 惊悚,252927人评价,8.7,杀人回忆 / 살인의 추억 / 谋杀回忆  /  杀手回忆录,关于连环杀人悬案的集体回忆。
2010 / 日本 / 动画 奇幻 冒险,261046人评价,8.7,借东西的小人阿莉埃蒂 / 借りぐらしのアリエッティ / 借物少女艾莉缇(台)  /  借东西的小矮人亚莉亚蒂(港),曾经的那段美好会沉淀为一辈子的记忆。
2017 / 意大利 法国 巴西 美国 / 剧情 爱情 同性,243533人评价,8.8,请以你的名字呼唤我 / Call Me by Your Name / 以你的名字呼唤我(港 / 台) ,沉醉在电影的情感和视听氛围中无法自拔。
1954 / 日本 / 动作 冒险 剧情,94673人评价,9.2,七武士 / 七人の侍 / 七侠四义(港)  /  The Seven Samurai[可播放],时代悲歌。
2011 / 美国 英国 / 剧情 悬疑 奇幻 冒险,339957人评价,8.7,哈利·波特与死亡圣器(下) / Harry Potter and the Deathly Hallows: Part 2 / 哈利波特7：死神的圣物2(港 / 台) [可播放],10年的完美句点。
2010 / 香港 中国大陆 / 剧情 家庭,353573人评价,8.6,岁月神偷 / 歲月神偷 / 1969太空漫游  /  Echoes Of The Rainbow,岁月流逝，来日可追。
2015 / 日本 / 剧情,155217人评价,9.0,小森林 冬春篇 / リトル・フォレスト 冬・春 / 小森食光 / 冬春篇(台) [可播放],尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
2001 / 美国 / 儿童 喜剧 动画 奇幻 冒险,302295人评价,8.6,"怪兽电力公司 / Monsters, Inc. / 怪兽公司(港)  /  怪物公司[可播放]",不要给它起名字，起了名字就有感情了。
1988 / 日本 / 动画 剧情 战争,239265人评价,8.7,萤火虫之墓 / 火垂るの墓 / 再见萤火虫(港)  /  萤火挽歌,幸福是生生不息，却难以触及的远。 
2007 / 美国 德国 / 动作 悬疑 惊悚,218079人评价,8.7,谍影重重3 / The Bourne Ultimatum / 叛谍追击3：最后通牒(港)  /  神鬼认证：最后通牒 (台)[可播放],像吃了苏打饼一样干脆的电影。
2004 / 美国 / 悬疑 惊悚 恐怖,237836人评价,8.7,电锯惊魂 / Saw / 夺魂锯(台)  /  恐惧斗室(港),真相就在眼前。
2013 / 韩国 / 剧情 喜剧 家庭,222252人评价,8.7,7号房的礼物 / 7번방의 선물 / 戆爸的礼物(港)  /  7号囚房的礼物,《我是山姆》的《美丽人生》。
1994 / 香港 台湾 / 剧情 动作 爱情 武侠 古装,307451人评价,8.6,东邪西毒 / 東邪西毒 / Ashes of Time[可播放],电影诗。
1993 / 台湾 美国 / 剧情 喜剧 爱情 同性 家庭,168554人评价,8.8,喜宴 / 囍宴 / The Wedding Banquet,中国家庭的喜怒哀乐忍。
2013 / 美国 / 喜剧 动画 冒险,442211人评价,8.7,疯狂原始人 / The Croods / 古鲁家族(港 / 台) [可播放],老少皆宜，这就是好莱坞动画的魅力。
2008 / 英国 美国 / 剧情 爱情,448459人评价,8.5,贫民窟的百万富翁 / Slumdog Millionaire / 贫民百万富翁(台)  /  一百万零一夜(港),上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
2011 / 日本 / 剧情 爱情 动画 奇幻,205060人评价,8.8,萤火之森 / 蛍火の杜へ / 萤火之社  /  Hotarubi no mori e[可播放],触不到的恋人。
2000 / 美国 / 犯罪 剧情 悬疑 惊悚,329230人评价,8.6,记忆碎片 / Memento / 失忆  /  记忆拼图(台)[可播放],一个针管引发的血案。
2010 / 美国 / 剧情 惊悚,486629人评价,8.5,黑天鹅 / Black Swan / 夺命黑天鹅  /  霸王别鹅(豆友译名)[可播放],黑暗之美。
2003 / 英国 美国 法国 / 喜剧 剧情 爱情,363807人评价,8.5,真爱至上 / Love Actually / 爱是您，爱是我(台)  /  真的恋爱了(港)[可播放],爱，是个动词。
1986 / 香港 / 动作 犯罪,220233人评价,8.6,英雄本色 / A Better Tomorrow  /  Gangland Boss[可播放],英雄泪短，兄弟情长。 
2014 / 美国 / 喜剧 动作 科幻 动画 冒险,462268人评价,8.6,超能陆战队 / Big Hero 6 / 大英雄联盟(港)  /  大英雄天团(台)[可播放],Balalala~~~
1993 / 香港 / 喜剧 爱情 古装,430479人评价,8.5,唐伯虎点秋香 / 唐伯虎點秋香 / Flirting Scholar[可播放],华太师是黄霑，吴镇宇四大才子之一。
2012 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚,351825人评价,8.6,蝙蝠侠：黑暗骑士崛起 / The Dark Knight Rises / 蝙蝠侠前传3：黑暗骑士崛起  /  黑暗骑士：黎明升起(台)[可播放],诺兰就是保证。
1988 / 美国 / 剧情,237959人评价,8.7,雨人 / Rain Man / 手足情未了  /  手足情深[可播放],生活在自己的世界里，也可以让周围的人显得可笑和渺小。
2014 / 中国大陆 / 剧情 犯罪 悬疑,228423人评价,8.7,心迷宫 / 殡棺  /  The Coffin in the Mountain[可播放],荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
2004 / 英国 南非 意大利 美国 / 剧情 历史 战争,143149人评价,8.9,卢旺达饭店 / Hotel Rwanda / 卢安达饭店(台)[可播放],当这个世界闭上双眼，他却敞开了怀抱。
2005 / 法国 英国 美国 / 剧情 爱情,365218人评价,8.5,傲慢与偏见 / Pride & Prejudice / 傲慢与偏见2005  /  Pride And Prejudice[可播放],爱是摈弃傲慢与偏见之后的曙光。
2014 / 阿根廷 西班牙 / 剧情 喜剧 犯罪,183148人评价,8.8,荒蛮故事 / Relatos salvajes / 蛮荒故事  /  生命中最抓狂的小事(台)[可播放],始于荒诞，止于更荒诞。
2009 / 法国 瑞士 西班牙 美国 阿联酋 / 纪录片,108032人评价,9.0,海洋 / Océans / Oceans  /  海洋,大海啊，不全是水。
